accelerator,model,throughput_original,throughput_scaled
Qualcomm QCS6490,yolov5nu,0.0,0.0
Qualcomm QCS6490,yolov5su,0.0,0.0
Qualcomm QCS6490,yolov7,0.0,0.0
Qualcomm QCS6490,yolov7x,0.0,0.0
Qualcomm QCS6490,yolov8m,0.0,0.0
Qualcomm QCS6490,yolov8n,0.0,0.0
Qualcomm QCS6490,yolov8s,0.0,0.0
Qualcomm QCS6490,yolov9m,0.0,0.0
Qualcomm QCS6490,yolov9s,0.0,0.0
Qualcomm QCS6490,yolov9t,0.0,0.0
RTX PRO 6000 Max-Q,yolo11m,135.3226115,73.56715771717542
RTX PRO 6000 Max-Q,yolo11n,296.82023,85.26399121164995
RTX PRO 6000 Max-Q,yolo11s,233.8204416,81.70660775151926
RTX PRO 6000 Max-Q,yolo12m,107.7349475,70.18277121175657
RTX PRO 6000 Max-Q,yolo12n,260.7851643,83.33365440093367
RTX PRO 6000 Max-Q,yolo12s,197.3104046,79.17723254282988
RTX PRO 6000 Max-Q,yolov10m,200.8396541,79.4412660528121
RTX PRO 6000 Max-Q,yolov10n,565.4793772999999,94.88755521423967
RTX PRO 6000 Max-Q,yolov10s,294.6805241,85.15606597703899
RTX PRO 6000 Max-Q,yolov5mu,129.0194487,72.85857887962788
RTX PRO 6000 Max-Q,yolov5nu,280.62975980000004,84.42733918065429
RTX PRO 6000 Max-Q,yolov5su,231.4238683,81.5530616428381
RTX PRO 6000 Max-Q,yolov7,64.58290229999999,62.61507218356806
RTX PRO 6000 Max-Q,yolov7x,34.99981341,53.63735961869611
RTX PRO 6000 Max-Q,yolov8m,121.13035759999998,71.92166771791142
RTX PRO 6000 Max-Q,yolov8n,292.97148980000003,85.06930098731867
RTX PRO 6000 Max-Q,yolov8s,239.1648866,82.04345193814902
RTX PRO 6000 Max-Q,yolov9m,150.5083745,75.14800831994452
RTX PRO 6000 Max-Q,yolov9s,166.4119228,76.64204258552662
RTX PRO 6000 Max-Q,yolov9t,246.7551001,82.509176058
