device,base_model,benchmark_model,mAP50,mAP50_cpu,accuracy_drop,latency_singlestream,latency_cpu,speedup,throughput_singlestream,throughput_offline,eta,feasible
Apple M4 ANE,yolo11m,yolo11m,65.75111389,65.75679016,0.00863221879623913,39.27057335,303.82471610000005,7.7367018146680575,25.464359562247136,72.18662006,2.834809957954811,1
Apple M4 ANE,yolo11n,yolo11n,54.25831604,54.25328064,-0.00928128205446163,18.07855173,51.88629889,2.870047317114378,55.31416536760381,171.10395309999998,3.0933116673258434,1
Apple M4 ANE,yolo11s,yolo11s,61.57973862,61.56828308,-0.018606235917144307,24.67277934,125.300596,5.078495384460403,40.53049663435282,141.02053569999998,3.4793685597346924,1
Apple M4 ANE,yolo12m,yolo12m,67.24602509,67.24850464,0.0036871451837678696,88.93245205,332.3498842,3.7371046961928456,11.244489238166688,32.13160419,2.8575423489167537,1
Apple M4 ANE,yolo12n,yolo12n,55.77677917,55.77432632,-0.004397811971630816,37.11206408,61.65644764,1.6613586220128125,26.94541585842185,108.3764186,4.022072591844104,1
Apple M4 ANE,yolo12s,yolo12s,62.78076935,62.77750778,-0.005195443583758305,52.47888634,143.7807615,2.7397830161347896,19.055282414363823,59.09950203,3.1014760497829696,1
Apple M4 ANE,yolov10m,yolov10m,66.4068985,66.39168549,-0.022914028899428878,27.4064484,310.12430730000005,11.315742294430244,36.48776322290633,92.68414936,2.540143356932733,1
Apple M4 ANE,yolov10n,yolov10n,53.97570801,53.98374176,0.014881795403732915,13.97641333,50.94619524,3.645155165141356,71.54911466831956,182.2182466,2.546757530749467,1
Apple M4 ANE,yolov10s,yolov10s,62.2829628,62.26559448,-0.027893927850607056,20.41573153,130.8155201,6.407584264505656,48.98183533274548,145.9683631,2.9800509129231587,1
Apple M4 ANE,yolov5mu,yolov5mu,63.77737427,63.77489471,-0.0038879876027704545,19.37156594,302.1650964,15.59838256421308,51.62205281169954,102.5877177,1.987284738059655,1
Apple M4 ANE,yolov5nu,yolov5nu,48.88251495,48.88421249,0.003472573073258292,13.00645867,55.16334188,4.241226861177578,76.88487891839047,211.9321034,2.7564861437182664,1
Apple M4 ANE,yolov5su,yolov5su,58.54852676,58.55023193,0.002912319804368421,14.9408633,129.70280659999997,8.681078462179624,66.93053673812811,183.9667852,2.7486225894136633,1
Apple M4 ANE,yolov7,yolov7,66.63258362,66.64164734,0.013600684199413623,37.32952354,448.7389988,12.02102133232853,26.788447994211932,56.4136597,2.105895037748699,1
Apple M4 ANE,yolov7x,yolov7x,68.15399933,68.14979553,-0.006168470451460929,43.97654633,744.0225637,16.918621988112818,22.739393687171344,39.2384193,1.7255701642624157,1
Apple M4 ANE,yolov8m,yolov8m,65.38788605,65.39667511,0.01343961292407365,29.76122756,368.3289403,12.376134000435028,33.60076455125899,99.90902331,2.973415178026254,1
Apple M4 ANE,yolov8n,yolov8n,51.67261887,51.67530823,0.0052043424453860785,16.80852415,59.28260226,3.526936792960493,59.49362306148693,187.9413982,3.1590175304294665,1
Apple M4 ANE,yolov8s,yolov8s,60.57696915,60.59686661,0.032835790220082484,21.93650511,152.7072133,6.961328276051901,45.586112964919785,153.7944742,3.373713269178063,1
Apple M4 ANE,yolov9m,yolov9m,66.20127106,66.19837952,-0.004367992118477075,21.65510946,345.3845701,15.949333839109583,46.17847819458679,81.77958919,1.7709459555032825,1
Apple M4 ANE,yolov9s,yolov9s,61.23960495,61.23288727,-0.010970705938428763,15.84390773,155.00957140000003,9.783544188817364,63.115742469676704,146.989935,2.3288949673786976,1
Apple M4 ANE,yolov9t,yolov9t,51.96505356,51.99168396,0.05122049907152486,13.38261083,62.60135047,4.67781296678415,74.72383473621491,213.7749514,2.860866979788364,1
DeepX M1,yolo11m,yolo11m,65.57006073,65.75679016,0.2839698068376636,56.00608921,303.82471610000005,5.4248514828589665,17.85520135588128,81.32369016,4.554621845987359,1
