task,scenario,mAP50,samples_per_second,accelerator_type,benchmark_model
Object Detection,Offline,59.66191101,305.8207684,Mobilint-ARIES,yolov5mu
Object Detection,Offline,46.03955841,796.1184439,Mobilint-ARIES,yolov5nu
Object Detection,Offline,57.62205124,597.3018393,Mobilint-ARIES,yolov5su
Object Detection,Offline,58.0574913,59.96161028,Hailo-8,yolov5mu
Object Detection,Offline,42.24772644,72.6992988,Hailo-8,yolov5nu
Object Detection,Offline,51.35976028,70.76200629,Hailo-8,yolov5su
Object Detection,Offline,48.64378738,99.88387235,DeepX M1,yolov5nu
Object Detection,Offline,63.51412964,99.72064923,DeepX M1,yolov5mu
Object Detection,Offline,58.40240097,101.0554335,DeepX M1,yolov5su
Object Detection,Offline,58.54852676,183.9667852,Apple M4 ANE,yolov5su
Object Detection,Offline,48.88251495,211.9321034,Apple M4 ANE,yolov5nu
Object Detection,Offline,63.77737427,102.5877177,Apple M4 ANE,yolov5mu
Object Detection,Offline,58.55023193,20.75717943,Apple M4 CPU,yolov5su
Object Detection,Offline,48.88421249,55.7427014,Apple M4 CPU,yolov5nu
Object Detection,Offline,63.77489471,8.26186175,Apple M4 CPU,yolov5mu
Object Detection,Offline,58.5501976,231.4238683,RTX PRO 6000 Max-Q,yolov5su
Object Detection,Offline,48.88422012,280.6297598,RTX PRO 6000 Max-Q,yolov5nu
Object Detection,Offline,63.7748909,129.0194487,RTX PRO 6000 Max-Q,yolov5mu
