task,scenario,mAP50,samples_per_second,accelerator_type,benchmark_model
Object Detection,Offline,65.56429291,243.3752482,Mobilint-ARIES,yolov9m
Object Detection,Offline,60.34019089,489.6421745,Mobilint-ARIES,yolov9s
Object Detection,Offline,50.87014008,666.2897377,Mobilint-ARIES,yolov9t
Object Detection,Offline,59.20882416,57.66371579,Hailo-8,yolov9m
Object Detection,Offline,54.34335327,64.75270126,Hailo-8,yolov9s
Object Detection,Offline,44.39318085,65.94573933,Hailo-8,yolov9t
Object Detection,Offline,51.73718262,100.0404756,DeepX M1,yolov9t
Object Detection,Offline,60.86295319,102.8572239,DeepX M1,yolov9s
Object Detection,Offline,66.09468079,97.04182125,DeepX M1,yolov9m
Object Detection,Offline,51.96505356,213.7749514,Apple M4 ANE,yolov9t
Object Detection,Offline,61.23960495,146.989935,Apple M4 ANE,yolov9s
Object Detection,Offline,66.20127106,81.77958919,Apple M4 ANE,yolov9m
Object Detection,Offline,51.99168396,48.35619353,Apple M4 CPU,yolov9t
Object Detection,Offline,61.23288727,17.77184055,Apple M4 CPU,yolov9s
Object Detection,Offline,66.19837952,5.926545483,Apple M4 CPU,yolov9m
Object Detection,Offline,51.99174118,246.7551001,RTX PRO 6000 Max-Q,yolov9t
Object Detection,Offline,61.23288727,166.4119228,RTX PRO 6000 Max-Q,yolov9s
Object Detection,Offline,66.19841766,150.5083745,RTX PRO 6000 Max-Q,yolov9m
